KSS,Kohl's Corporation,48.33
AIRS,AirSculpt Technologies Inc.,47.72
WOLF,Wolfspeed Inc.,46.61
RILY,B Riley Financial Inc,44.98
HTZ,Hertz Global Holdings Inc,44.96
INMB,INmune Bio Inc.,44.24
GRPN,Groupon Inc,39.18
ALT,Altimmune Inc,39.01
BYND,Beyond Meat Inc,38.94
PLCE,The Children's Place Inc.,38.91
MTEN,Mingteng International Corp Inc.,37.13
IOVA,Iovance Biotherapeutics Inc,35.34
HIMS,Hims & Hers Health Inc.,35.29
NVTS,Navitas Semiconductor Corp,35.11
MPW,Medical Properties Trust Inc,35.08
EOSE,Eos Energy Enterprises Inc,34.57
QMCO,Quantum Corporation,34.08
TIL,Instil Bio Inc,33.89
SOUN,SoundHound AI Inc,33.74
LQDA,Liquidia Corp,33.54
SLRX,Salarius Pharmaceuticals Inc,33.11
BKKT,Bakkt Holdings Inc.,32.96
PCT,Purecycle Technologies Inc,32.96
SANA,Sana Biotechnology Inc,32.79
BBAI,BigBear.ai Holdings Inc.,30.20
AVXL,Anavex Life Sciences Corp,30.16
RUN,Sunrun Inc,30.09
RXRX,Recursion Pharmaceuticals Inc.,29.95
CAPR,Capricor Therapeutics Inc.,29.41
NVAX,Novavax Inc,29.20
PRME,Prime Medicine Inc,28.95
CHRS,Coherus Biosciences Inc,28.62
INDI,indie Semiconductor Inc.,28.39
SPCE,Virgin Galactic Holdings Inc.,28.14
LMND,Lemonade Inc.,27.30
DNA,Ginkgo Bioworks Holdings Inc.,27.10
MBLY,Mobileye Global Inc.,27.02
ENVX,Enovix Corp,26.70
SEDG,SolarEdge Technologies Inc.,26.65
STOK,Stoke Therapeutics Inc,26.07
LAZR,Luminar Technologies Inc,25.88
FFAI,Faraday Future Intelligent Electric Inc.,25.78
PLUG,Plug Power Inc,25.74
CETX,Cemtrex Inc.,25.49
HRTX,Heron Therapeutics Inc,25.38
